,car_name,company_name,year,price,kms_driven,fuel_type
1336,Mahindra SCORPIO N,Mahindra,2024,1850000,15343,Diesel
1337,Hyundai Elite i20,Hyundai,2024,50000,9999,Hybrid
1338,Kia Sonet HTX,Kia,2020,950000,34000,Petrol
1339,Toyota All New,Toyota,2019,1000000,0,Diesel
1340,Maruti Suzuki Swift,Maruti,2017,480000,1500,Petrol
1341,Honda WRV VX,Honda,2018,685000,50000,Petrol
1342,Toyota Corolla Altis,Toyota,2012,600000,17500,Petrol
1343,Tata Nexon XT,Tata,2022,600000,98000,Petrol
1344,Maruti Suzuki Zen,Maruti,2013,175000,80000,Petrol
1345,Tata Nexon XZA,Tata,2018,750000,75300,Diesel
1346,Renault Duster 4x4,Renault,2014,325000,34000,Diesel
1347,Honda City ZX,Honda,2005,200000,0,Petrol
1348,Tata Nexon XMA,Tata,2023,1050000,35150,Petrol
1349,Tata Nexon XMA,Tata,2023,1000000,35710,Petrol
1350,Toyota Innova Crysta,Toyota,2021,1450000,31000,Diesel
1351,Maruti Suzuki Alto,Maruti,2010,160000,84000,Petrol
1352,Honda City ZX,Honda,2006,145000,50000,Petrol
1353,Maruti Suzuki BREZZA,Maruti,2023,700000,50000,Petrol
1354,Tata Indica Vista,Tata,2015,180000,80000,Diesel
1355,Ford EcoSport Titanium,Ford,2017,575000,95000,Diesel
1356,Mahindra SCORPIO N,Mahindra,2024,1850000,15343,Diesel
1357,Hyundai Elite i20,Hyundai,2024,50000,9999,Hybrid
1358,Kia Sonet HTX,Kia,2020,950000,34000,Petrol
1359,Toyota All New,Toyota,2019,1000000,0,Diesel
1360,Maruti Suzuki Swift,Maruti,2017,480000,1500,Petrol
1361,Honda WRV VX,Honda,2018,685000,50000,Petrol
1362,Toyota Corolla Altis,Toyota,2012,600000,17500,Petrol
1363,Tata Nexon XT,Tata,2022,600000,98000,Petrol
1364,Maruti Suzuki Zen,Maruti,2013,175000,80000,Petrol
1365,Tata Nexon XZA,Tata,2018,750000,75300,Diesel
